"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2017","364.56000","348.44000","366.07999","332.00000","62.79K","4.63"
"Jun 16, 2017","348.44000","338.70001","355.51001","305.22000","99.39K","2.88"
"Jun 15, 2017","338.70001","335.95001","344.00000","265.00000","327.57K","0.82"
"Jun 14, 2017","335.95001","382.70001","385.73001","315.00000","169.59K","-12.22"
"Jun 13, 2017","382.70001","386.89999","395.00000","345.60999","126.37K","-1.09"
"Jun 12, 2017","386.89999","336.32999","412.20999","297.00000","335.23K","15.04"
"Jun 11, 2017","336.32999","325.88000","347.00000","310.00000","143.92K","3.21"
"Jun 10, 2017","325.88000","278.41000","341.94000","278.26001","161.36K","17.05"
"Jun 09, 2017","278.41000","256.95001","279.89999","256.95001","77.58K","8.35"
"Jun 08, 2017","256.95001","250.70000","258.92999","242.03999","42.05K","2.49"
"Jun 07, 2017","250.70000","261.89001","263.70001","241.00999","72.43K","-4.27"
"Jun 06, 2017","261.89001","242.16000","264.98999","238.23000","117.73K","8.15"
"Jun 05, 2017","242.16000","241.06000","244.28999","231.72000","57.88K","0.46"
"Jun 04, 2017","241.06000","217.00999","245.98000","216.10001","107.42K","11.08"
"Jun 03, 2017","217.00999","214.77000","217.99001","210.00999","27.45K","1.04"
"Jun 02, 2017","214.77000","211.39999","219.21001","208.23000","43.56K","1.59"
"Jun 01, 2017","211.39999","218.34000","227.32001","196.00000","129.59K","-3.18"
"May 31, 2017","218.34000","224.69000","230.55000","200.89999","167.00K","-2.83"
"May 30, 2017","224.69000","189.99001","229.98000","182.00000","216.53K","18.26"
"May 29, 2017","189.99001","161.91000","191.30000","155.00999","134.97K","17.34"
"May 28, 2017","161.91000","149.99001","172.78999","149.66000","183.88K","7.95"
"May 27, 2017","149.99001","152.80000","161.00000","110.42000","360.80K","-1.84"
"May 26, 2017","152.80000","168.71001","187.00000","143.64000","185.60K","-9.43"
"May 25, 2017","168.71001","183.88000","206.06000","155.00000","246.56K","-8.25"
"May 24, 2017","183.88000","168.24001","197.41000","166.33000","184.31K","9.30"
"May 23, 2017","168.24001","154.92000","174.30000","148.60001","144.90K","8.60"
"May 22, 2017","154.92000","146.14000","190.00000","136.80000","472.57K","6.01"
"May 21, 2017","146.14000","123.03000","146.39999","122.32000","219.99K","18.78"
"May 20, 2017","123.03000","124.40000","128.95000","119.54000","122.85K","-1.10"
"May 19, 2017","124.40000","98.60000","129.25000","98.31000","257.35K","26.17"
"May 18, 2017","98.60000","89.67000","98.89000","89.42000","124.93K","9.96"
"May 17, 2017","89.67000","88.17000","90.93000","83.77000","49.95K","1.70"
"May 16, 2017","88.17000","92.56000","93.48000","85.43000","55.26K","-4.74"
"May 15, 2017","92.56000","90.37000","95.17000","90.37000","115.27K","2.42"
"May 14, 2017","90.37000","89.90000","91.92000","88.11000","49.49K","0.52"
"May 13, 2017","89.90000","86.99000","89.99000","84.50000","30.29K","3.35"
"May 12, 2017","86.99000","89.38000","92.00000","83.85000","80.92K","-2.67"
"May 11, 2017","89.38000","88.33000","91.50000","87.35000","60.14K","1.19"
"May 10, 2017","88.33000","88.94000","92.46000","86.60000","55.86K","-0.69"
"May 09, 2017","88.94000","88.97000","91.10000","77.76000","201.04K","-0.03"
"May 08, 2017","88.97000","94.21000","95.48000","88.11000","99.81K","-5.56"
"May 07, 2017","94.21000","96.65000","98.00000","90.89000","62.63K","-2.52"
"May 06, 2017","96.65000","91.50000","96.84000","90.53000","69.58K","5.63"
"May 05, 2017","91.50000","99.20000","101.70000","88.20000","205.19K","-7.76"
"May 04, 2017","99.20000","85.79000","99.78000","84.61000","234.89K","15.63"
"May 03, 2017","85.79000","82.01000","86.62000","81.00000","102.03K","4.61"
"May 02, 2017","82.01000","81.40000","85.18000","79.49000","103.34K","0.75"
"May 01, 2017","81.40000","83.51000","88.10000","66.00000","360.89K","-2.53"
"Apr 30, 2017","83.51000","73.55000","84.00000","72.60000","140.76K","13.54"
"Apr 29, 2017","73.55000","76.00000","77.60000","71.20000","135.65K","-3.22"
"Apr 28, 2017","76.00000","68.00000","77.40000","66.00000","274.12K","11.76"
"Apr 27, 2017","68.00000","57.31000","68.00000","56.92000","150.43K","18.65"
"Apr 26, 2017","57.31000","53.90000","58.38000","53.66000","151.53K","6.33"
"Apr 25, 2017","53.90000","53.54000","54.21000","53.25000","27.84K","0.67"
"Apr 24, 2017","53.54000","53.33000","54.48000","53.00000","57.99K","0.39"
"Apr 23, 2017","53.33000","52.15000","54.44000","51.75000","53.39K","2.26"
"Apr 22, 2017","52.15000","51.37000","52.78000","51.03000","35.81K","1.52"
"Apr 21, 2017","51.37000","51.96000","52.27000","51.10000","44.69K","-1.14"
"Apr 20, 2017","51.96000","49.66000","52.45000","48.60000","99.32K","4.63"
"Apr 19, 2017","49.66000","52.42000","53.00000","45.00000","131.60K","-5.27"
"Apr 18, 2017","52.42000","49.52000","53.00000","49.07000","183.89K","5.86"
"Apr 17, 2017","49.52000","49.58000","50.27000","48.88000","48.76K","-0.12"
"Apr 16, 2017","49.58000","49.71000","49.90000","48.87000","18.30K","-0.26"
